epoch,auc,loss,val_auc,val_loss
0,0.6972360610961914,0.07309715449810028,0.7879036068916321,0.058057405054569244
1,0.7980054616928101,0.0631043016910553,0.8228930830955505,0.05361715704202652
2,0.8148361444473267,0.060569506138563156,0.8287361860275269,0.05209163948893547
3,0.8206627368927002,0.05954211950302124,0.8358492255210876,0.05123737454414368
4,0.8247478604316711,0.058913301676511765,0.8413079380989075,0.05055081099271774
5,0.8278585076332092,0.058385737240314484,0.8431761860847473,0.05025675147771835
6,0.8299751281738281,0.05796050280332565,0.8448920249938965,0.0499647818505764
7,0.8321746587753296,0.05768565088510513,0.8453207015991211,0.049795038998126984
8,0.8321868777275085,0.0576295331120491,0.8462550640106201,0.049677662551403046
9,0.8339978456497192,0.05728445202112198,0.8472124934196472,0.049733374267816544
